Phase SL,Sl,Application Name,Phase PLan
1,1257,Citrix Workspace 2203 CU4 22.3.4000.4080 Americas,PROD_Phase7_200_Apps
2,2323,APP Igor Pavlov 7zip 26.0.0,PROD_Phase7_200_Apps
